company,tweet,created_at,likes,retweets,replies,ratio
DIS,"GO:ѕтrong recoммendaтιon!
%
$orcl : 1.38 %
$inpx : 3.69 %
$bkkt : 3.99 %
$lina : 4.33 %
$mas : 0.04 %
$gfs : 1.82 %… https://t.co/14xVPWK8kD",2023-03-07 03:42:02+00:00,7,1,8,1
DIS,Top Bearish Flow Volume Today via @WhaleStream: $SPY $SPX $TSLA $QQQ $DIS $MSFT https://t.co/3kX3gKnrfa,2023-03-07 01:20:30+00:00,5,1,5,0.833333333
DIS,"A flat #Wallst close but with 0DTE volumes at record highs, there's a lot of uncertainty with brokerages diverging… https://t.co/T7GhMo38F2",2023-03-07 01:18:32+00:00,22,7,25,0.862068966
DIS,"The 4 Horsemen of the BlueChipocalypse

$AMZN $GOOG $MSFT $DIS 

""Can you bind the chains of the Pleiades? Can you… https://t.co/CnbEJUAOG3",2023-03-07 00:59:14+00:00,10,1,4,0.363636364
DIS,"👨🏼‍💼@TomCruise🛳@CruiseNorwegian
Hedgies🩳Do you👁Sea🌊These
💎#DiamondHands🙌?

Isn’t $DIS 🐭The🤤Sweetest Stonk
you’EVER’… https://t.co/C7dXLGw2CN",2023-03-06 23:53:46+00:00,13,2,3,0.2
DIS,$DIS 101 needs to be defended now on pullback. https://t.co/cD3eNTUAwg,2023-03-06 17:50:10+00:00,5,1,1,0.166666667
DIS,""".. Just saw this story mentioning Adam Silver, NBA Commissioner as pot’l successor to Bob Iger at $DIS. Would cert… https://t.co/0IeEEhzFfU",2023-03-06 15:49:42+00:00,21,7,26,0.928571429
DIS,"$DIS My slow money trade last few weeks under $100, is now back above 200 dma. $105 is next area of resistance where the 21 day resides.",2023-03-06 15:14:06+00:00,7,1,0,0
DIS,"$DIS chart looks constructive.

I like how it reclaimed the $100 psych level. 

If you look on the right there's a… https://t.co/P6kYO8S3we",2023-03-06 13:53:51+00:00,13,1,3,0.214285714
DIS,"Today's #ShortInterest updated in $TSLA, $BBIG, $RIDE, $BBBY, $VSAT, $PTON, $MMAT, $CS, $ATER, $TRKA, $SOFI, $WSM,… https://t.co/ehNhKJxY5M",2023-03-06 11:54:41+00:00,8,1,4,0.444444444
DIS,"Join me at Paul's Monday Market Update https://t.co/NFteaiGUV2

1230 on the standard zoom link inside the meetup in… https://t.co/YLIGqxDjKa",2023-03-06 11:07:13+00:00,3,2,4,0.8
DIS,"🅰️nd the $AMC 🍿Staff
🅱️rought me my🥘food,
📱iSaid🧐 “excuse me, where’s my
🅱️Jordan👅🥈✌🏼#PopcornTin🍿?”
(it didn’t show… https://t.co/yBTNGE2Yq7",2023-03-06 03:46:51+00:00,28,6,4,0.117647059
DIS,"VALUE 3/5/23 
$AFRM 1437
$AMCX 1376
$BNS 396
$BBBY 7M'24Bond
$DIS 599
$DOCU 261
$DS 5866
$FUBO 2819
$GOGO 941
$LSBK… https://t.co/JXng8jW2VN",2023-03-06 00:45:12+00:00,6,1,0,0
DIS,$DIS bouncing off and old level. I have not looked at this for a while until last week. Pretty nice hold here https://t.co/clUqFIMn9p,2023-03-05 22:44:50+00:00,6,1,0,0
DIS,"🟦 Exclusive Data RE: Missing Disney Pictures Library During #Disney100. 

What are the remaining $DIS Pictures film… https://t.co/yQHr1nwzjC",2023-03-05 22:43:39+00:00,4,2,6,1
DIS,"🥳#LFG🥊@creedmovie🎞
🅰️lready🅱️roke 
$100💵Milli🅱️oxOffice🏦!!!

There was definitely an🤩Excitement
in the Theatre🎭duri… https://t.co/3pH72f4lbs",2023-03-05 22:11:00+00:00,4,1,2,0.4
DIS,On the other hand I went to the Lion king play yesterday. It was incredible. One of the most creative and artistic… https://t.co/nqBa6elX46,2023-03-05 17:17:43+00:00,73,2,17,0.226666667
DIS,"I wanna💙Luv ya
🅰️nd treat you✅Right
I wanna💛Luv ya
🗓#Everyday和Everynight

we’ll🅱️💺✌🏼#2Gether
with🅰️Roof🏡Right over… https://t.co/WWhqwQ8ZPK",2023-03-05 16:16:31+00:00,12,1,7,0.538461538
DIS,"🧝🏽#MrFrodo!!!
There isn’t much @TIME🕰Left!!!

Look👀At the’#BigFuckin’@Target 🎯
🅰️bove👆 $AMC 🍿
🐭 $DIS is’#DESTINY🌌Br… https://t.co/eoD9CukQOC",2023-03-05 05:11:20+00:00,7,1,3,0.375
DIS,"Damn👀Look at dat🅱️Jordan👅🥈✌🏼
📱iTold✍️Y’all
🐭 $DIS film finna break $300💵Milli
🥱 #EASY🏦 $AMC 🍿

Ⓜ️BJ😛🅰️#Superstar🌟
h… https://t.co/yUHL9H8oAx",2023-03-05 01:12:32+00:00,9,2,2,0.181818182
DIS,"🅱️Jordan👅🥈✌🏼
“So, how🅱️ad you
really want this, 🅱️ro?”

🅰️Jordan🏆🥇☝️
“it’s not how bad I want
👁i🅰️Ⓜ️it
🐭 $DIS is th… https://t.co/M62YjgVsNE",2023-03-04 20:11:35+00:00,4,1,1,0.2
DIS,"Bay🌊Bae👱🏼‍♀️
Guess what? 
We’re
🚶‍♂️🚶‍♀️#Goin’✌🏼#2C💺@fortunemovie🎞
✌🏼#2Night’#atAMC💺
We gonna be🤑#StankyRICH🏦

👩🏻… https://t.co/9r5qtQKG8m",2023-03-04 19:30:34+00:00,8,2,5,0.5
DIS,"$DIS Daily chart, ABC Bullish
@PavlosD60
#stockmarket #investing #trading #finance #investor #stocktrading… https://t.co/HrIN8FsPG2",2023-03-04 10:37:14+00:00,5,1,1,0.166666667
DIS,"🆕 WEEKEND VIDEO 3/5: https://t.co/0jBLWck9vw

$VIX $TLT $TNX $XLF $BAC $JPM $DXY $GLD $NEM $BTC_F $COIN $CL_F $XLE… https://t.co/8yMc63aOPN",2023-03-04 08:51:18+00:00,6,3,2,0.222222222
